id,name,URL,Description,Cooking time,Preparation extra time per cover,Covers count,ingredients,ingredients_name
6512f357488630000f1e3d65,"Crostini truite fumée, fromage frais & ciboulette",https://jow.fr/recipes/6512f357488630000f1e3d65,"Gourmands & frais, ces crostinis vont en régaler plus d'un !",5.0,1.0,1,"[{'nom_ingred': 'Demi-baguette (précuite)', 'quantity': 0.25, 'unit': 'Pièce'}, {'nom_ingred': 'Truite fumée', 'quantity': 2, 'unit': 'Tranche'}, {'nom_ingred': 'Fromage frais', 'quantity': 2, 'unit': 'Cuillère à soupe'}, {'nom_ingred': 'Oignon rouge', 'quantity': 0.125, 'unit': 'Pièce'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Demi-baguette (précuite),Truite fumée,Fromage frais,Oignon rouge,Ciboulette"
653a3579d854b0000f9ab3cb,Loaded eggs fries,https://jow.fr/recipes/653a3579d854b0000f9ab3cb,"Des frites croustillantes recouvertes de fromage fondant, de bacon & d'un œuf au plat !",17.0,0.0,1,"[{'nom_ingred': 'Frites surgelées', 'quantity': 0.15, 'unit': 'Kilogramme'}, {'nom_ingred': 'Œuf', 'quantity': 1, 'unit': 'Pièce'}, {'nom_ingred': 'Lard (tranches)', 'quantity': 2, 'unit': 'Tranche'}, {'nom_ingred': 'Cheddar (tranches)', 'quantity': 2, 'unit': 'Tranche'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Frites surgelées,Œuf,Lard (tranches),Cheddar (tranches),Ciboulette"
60e464ab1315f60eae338281,Rolls saumon & avocat,https://jow.fr/recipes/60e464ab1315f60eae338281,Le genre d'apéritif qui disparaît en un clin d'œil !,,3.0,1,"[{'nom_ingred': 'Fromage frais', 'quantity': 1, 'unit': 'Cuillère à soupe'}, {'nom_ingred': 'Citron jaune', 'quantity': 0.25, 'unit': 'Pièce'}, {'nom_ingred': 'Avocat', 'quantity': 0.25, 'unit': 'Pièce'}, {'nom_ingred': 'Saumon (fumé)', 'quantity': 0.5, 'unit': 'Tranche'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Fromage frais,Citron jaune,Avocat,Saumon (fumé),Ciboulette"
6318b9fe90de45667ed89c2b,Frites gratinées à la raclette & lardons,https://jow.fr/recipes/6318b9fe90de45667ed89c2b,Anti-gourmands s’abstenir !,22.0,3.0,1,"[{'nom_ingred': 'Frites surgelées', 'quantity': 0.2, 'unit': 'Kilogramme'}, {'nom_ingred': 'Raclette', 'quantity': 0.04, 'unit': 'Kilogramme'}, {'nom_ingred': 'Oignon rouge', 'quantity': 0.25, 'unit': 'Pièce'}, {'nom_ingred': 'Lardons', 'quantity': 0.075, 'unit': 'Kilogramme'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Frites surgelées,Raclette,Oignon rouge,Lardons,Ciboulette"
5a96e9fbc0a671001461681d,Pancakes de courgette,https://jow.fr/recipes/5a96e9fbc0a671001461681d,Les enfants vont adorer manger des légumes !,8.0,5.0,1,"[{'nom_ingred': 'Courgette', 'quantity': 0.2, 'unit': 'Kilogramme'}, {'nom_ingred': 'Ail', 'quantity': 0.25, 'unit': 'Gousse'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}, {'nom_ingred': 'Œuf', 'quantity': 1, 'unit': 'Pièce'}, {'nom_ingred': 'Farine de blé', 'quantity': 1, 'unit': 'Cuillère à soupe'}, {'nom_ingred': 'Chapelure', 'quantity': 1, 'unit': 'Cuillère à soupe'}, {'nom_ingred': 'Parmesan (morceaux)', 'quantity': 0.02, 'unit': 'Kilogramme'}, {'nom_ingred': 'Salade (Mélange)', 'quantity': 0.03, 'unit': 'Kilogramme'}]","Courgette,Ail,Ciboulette,Œuf,Farine de blé,Chapelure,Parmesan (morceaux),Salade (Mélange)"
64eca2b406a6533ddc46562f,"Salade de lentilles, patate douce & avocat",https://jow.fr/recipes/64eca2b406a6533ddc46562f,Une assiette automnale équilibrée & bonne pour la santé !,25.0,3.0,1,"[{'nom_ingred': 'Lentilles (cuites)', 'quantity': 0.15, 'unit': 'Kilogramme'}, {'nom_ingred': 'Patate douce', 'quantity': 0.15, 'unit': 'Kilogramme'}, {'nom_ingred': 'Avocat', 'quantity': 0.5, 'unit': 'Pièce'}, {'nom_ingred': 'Moutarde', 'quantity': 0.5, 'unit': 'Cuillère à café'}, {'nom_ingred': 'Miel (liquide)', 'quantity': 1, 'unit': 'Cuillère à café'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Lentilles (cuites),Patate douce,Avocat,Moutarde,Miel (liquide),Ciboulette"
65491b047a853d001112d2fb,Sandwich crevettes & avocat au pain bretzel,https://jow.fr/recipes/65491b047a853d001112d2fb,Un sandwich ultra-moelleux à s'en lécher les babines !,0.0,1.0,1,"[{'nom_ingred': 'Bretzel', 'quantity': 2, 'unit': 'Pièce'}, {'nom_ingred': 'Crevette (cuite)', 'quantity': 0.05, 'unit': 'Kilogramme'}, {'nom_ingred': 'Avocat', 'quantity': 0.5, 'unit': 'Pièce'}, {'nom_ingred': 'Fromage frais', 'quantity': 0.03, 'unit': 'Kilogramme'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}, {'nom_ingred': 'Citron jaune', 'quantity': 0.25, 'unit': 'Pièce'}]","Bretzel,Crevette (cuite),Avocat,Fromage frais,Ciboulette,Citron jaune"
64515c1c641b747fa1272d11,"Saumon, pommes de terre & sauce au yaourt citronnée",https://jow.fr/recipes/64515c1c641b747fa1272d11,Envie d'une recette saine & gourmande ? La voici !,32.0,2.0,1,"[{'nom_ingred': 'Pommes de terre', 'quantity': 0.15, 'unit': 'Kilogramme'}, {'nom_ingred': 'Saumon (frais)', 'quantity': 1, 'unit': 'Pièce'}, {'nom_ingred': 'Courgette', 'quantity': 1, 'unit': 'Pièce'}, {'nom_ingred': 'Yaourt Grec', 'quantity': 1, 'unit': 'Cuillère à soupe'}, {'nom_ingred': 'Citron jaune', 'quantity': 0.25, 'unit': 'Pièce'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Pommes de terre,Saumon (frais),Courgette,Yaourt Grec,Citron jaune,Ciboulette"
652027da9e105e00117e4634,Couronne tressée truite fumée & fromage frais,https://jow.fr/recipes/652027da9e105e00117e4634,Vous aller vous régaler avec cette couronne tressée à base de pâte feuilletée & truite fumée !,30.0,1.0,4,"[{'nom_ingred': 'Pâte feuilletée', 'quantity': 0.25, 'unit': 'Pièce'}, {'nom_ingred': 'Truite fumée', 'quantity': 1, 'unit': 'Tranche'}, {'nom_ingred': 'Fromage frais', 'quantity': 1, 'unit': 'Cuillère à soupe'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Pâte feuilletée,Truite fumée,Fromage frais,Ciboulette"
60f823a67655c50eaf418b64,Omelette chèvre & thon,https://jow.fr/recipes/60f823a67655c50eaf418b64,La meilleure recette des déjeuners pressés ,3.0,2.0,1,"[{'nom_ingred': 'Œuf', 'quantity': 2, 'unit': 'Pièce'}, {'nom_ingred': 'Chèvre frais', 'quantity': 1, 'unit': 'Cuillère à soupe'}, {'nom_ingred': 'Salade (roquette)', 'quantity': 2, 'unit': 'Poignée'}, {'nom_ingred': 'Thon (conserve)', 'quantity': 0.04, 'unit': 'Kilogramme'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Œuf,Chèvre frais,Salade (roquette),Thon (conserve),Ciboulette"
6363d0807188f92715eccd35,Burger avocat & lard,https://jow.fr/recipes/6363d0807188f92715eccd35,Rien de plus gourmand qu'un burger avocat et lard pour se réconforter cet hiver !,10.0,1.0,1,"[{'nom_ingred': 'Pain burger', 'quantity': 1, 'unit': 'Pièce'}, {'nom_ingred': 'Lard (tranches)', 'quantity': 2, 'unit': 'Tranche'}, {'nom_ingred': 'Avocat', 'quantity': 0.5, 'unit': 'Pièce'}, {'nom_ingred': 'Œuf', 'quantity': 1, 'unit': 'Pièce'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Pain burger,Lard (tranches),Avocat,Œuf,Ciboulette"
64ecc42f06a6533ddc46a100,Tartines rillette de thon & tomates cerises,https://jow.fr/recipes/64ecc42f06a6533ddc46a100,Le mélange thon et tomates cerises est à tomber !,,1.0,1,"[{'nom_ingred': 'Tartine de seigle', 'quantity': 2, 'unit': 'Pièce'}, {'nom_ingred': 'Thon (conserve)', 'quantity': 0.04, 'unit': 'Kilogramme'}, {'nom_ingred': 'Fromage frais', 'quantity': 0.02, 'unit': 'Kilogramme'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}, {'nom_ingred': 'Tomate cerise', 'quantity': 0.1, 'unit': 'Kilogramme'}, {'nom_ingred': 'Salade (Mélange)', 'quantity': 1, 'unit': 'Poignée'}]","Tartine de seigle,Thon (conserve),Fromage frais,Ciboulette,Tomate cerise,Salade (Mélange)"
5e38492dd9c160548d915f94,Salade de pommes de terre au saumon,https://jow.fr/recipes/5e38492dd9c160548d915f94,Comme un vent du nord qui souffle dans votre cuisine,20.0,1.0,1,"[{'nom_ingred': 'Pommes de terre', 'quantity': 0.15, 'unit': 'Kilogramme'}, {'nom_ingred': 'Salade (mâche)', 'quantity': 2, 'unit': 'Poignée'}, {'nom_ingred': 'Saumon (fumé)', 'quantity': 1, 'unit': 'Tranche'}, {'nom_ingred': 'Fromage blanc', 'quantity': 1, 'unit': 'Cuillère à soupe'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}, {'nom_ingred': 'Échalote', 'quantity': 0.25, 'unit': 'Pièce'}]","Pommes de terre,Salade (mâche),Saumon (fumé),Fromage blanc,Ciboulette,Échalote"
6474b7fc51dd1c58a2659bf9,Falafels express & sauce yaourt,https://jow.fr/recipes/6474b7fc51dd1c58a2659bf9,De délicieux falafels prêts en un rien de temps et leur petite sauce qui va bien ! ,7.0,1.0,1,"[{'nom_ingred': 'Falafel (frais)', 'quantity': 5, 'unit': 'Pièce'}, {'nom_ingred': 'Yaourt nature', 'quantity': 1, 'unit': 'Cuillère à soupe'}, {'nom_ingred': 'Mayonnaise', 'quantity': 1, 'unit': 'Cuillère à café'}, {'nom_ingred': 'Citron jaune', 'quantity': 0.25, 'unit': 'Pièce'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Falafel (frais),Yaourt nature,Mayonnaise,Citron jaune,Ciboulette"
5c8f9e73ba7dbf1050051389,"Gnocchi à poêler, champignons & feta",https://jow.fr/recipes/5c8f9e73ba7dbf1050051389,Des Gnocchi à poêler simples et gourmands à préparer sur le pouce en quelques minutes seulement !,7.0,1.0,1,"[{'nom_ingred': 'Gnocchi (à poêler)', 'quantity': 0.15, 'unit': 'Kilogramme'}, {'nom_ingred': 'Champignons de Paris (frais)', 'quantity': 0.07, 'unit': 'Kilogramme'}, {'nom_ingred': 'Feta', 'quantity': 0.03, 'unit': 'Kilogramme'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Gnocchi (à poêler),Champignons de Paris (frais),Feta,Ciboulette"
63c56dae091d4f41a3721811,Crispy parmesan potatoes,https://jow.fr/recipes/63c56dae091d4f41a3721811,Comment ne pas succomber à ces pommes de terre croustillantes au parmesan ! ,25.0,2.0,1,"[{'nom_ingred': 'Pommes de terre (primeur)', 'quantity': 0.2, 'unit': 'Kilogramme'}, {'nom_ingred': 'Parmesan (râpé)', 'quantity': 0.04, 'unit': 'Kilogramme'}, {'nom_ingred': 'Piment (doux)', 'quantity': 1, 'unit': 'Pincée'}, {'nom_ingred': 'Ail (semoule)', 'quantity': 0.5, 'unit': 'Cuillère à café'}, {'nom_ingred': 'Crème fraîche', 'quantity': 1, 'unit': 'Cuillère à soupe'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Pommes de terre (primeur),Parmesan (râpé),Piment (doux),Ail (semoule),Crème fraîche,Ciboulette"
650b0f26e7cc8d0013ce1498,"Poulet, purée de carottes & tzatziki",https://jow.fr/recipes/650b0f26e7cc8d0013ce1498,Un repas simple & efficace - de quoi se régaler en famille !,10.0,1.0,1,"[{'nom_ingred': 'Poulet (escalope)', 'quantity': 1, 'unit': 'Pièce'}, {'nom_ingred': 'Purée de carotte (surgelée)', 'quantity': 0.1, 'unit': 'Kilogramme'}, {'nom_ingred': 'Salade (Mélange)', 'quantity': 1, 'unit': 'Poignée'}, {'nom_ingred': 'Tzatziki', 'quantity': 0.05, 'unit': 'Kilogramme'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}]","Poulet (escalope),Purée de carotte (surgelée),Salade (Mélange),Tzatziki,Ciboulette"
5e5d4427fc92e42555706ce9,Brunch Burger,https://jow.fr/recipes/5e5d4427fc92e42555706ce9,"Le plus express de tous nos burgers, pour les envies de brunch les plus soudaines ",3.0,1.0,1,"[{'nom_ingred': 'Pain burger', 'quantity': 1, 'unit': 'Pièce'}, {'nom_ingred': 'Œuf', 'quantity': 2, 'unit': 'Pièce'}, {'nom_ingred': 'Beurre', 'quantity': 0.015, 'unit': 'Kilogramme'}, {'nom_ingred': 'Ciboulette', 'quantity': 0.1, 'unit': 'Bouquet'}, {'nom_ingred': 'Jambon blanc', 'quantity': 1, 'unit': 'Tranche'}]","Pain burger,Œuf,Beurre,Ciboulette,Jambon blanc"
